;I_bat;I_in;V_bat;V_in;P_in;P_bat;E_in;E_bat;0
2019-07-19 12:45:00;4.38960188361204e-05;-9.829465728428094e-05;4.200317720645485;2.08954210564214;0.0002052266099481511;0.00018437723329437712;;;
2019-07-19 12:50:00;4.292975949163879e-05;-9.639011301003344e-05;4.200308775183946;2.0869581844682275;0.0002010092294864103;0.00018031825059465693;;;
2019-07-19 12:55:00;4.526772252842809e-05;-0.00010143560232107022;4.2003136846555185;2.093281044779264;0.00021214122862573903;0.00019013864550987658;;;
2019-07-19 13:00:00;4.587271715719063e-05;-0.0001024992687257525;4.200303927043478;2.093851208267558;0.00021453514079401427;0.00019267936996871491;;;
2019-07-19 13:05:00;4.652900757190635e-05;-0.00010387952067892975;4.200300727160536;2.09614374867893;0.00021756371626972408;0.00019543583654768867;;;
2019-07-19 13:10:00;4.245231043143812e-05;-9.547073751170568e-05;4.200298048244147;2.0849426765284282;0.0001988838011857183;0.00017831236573487695;;;
2019-07-19 13:15:00;4.374542665551839e-05;-9.800609351505017e-05;4.200304521876254;2.088138926424749;0.00020448250942499324;0.00018374412601400547;;;
2019-07-19 13:20:00;4.515993602006689e-05;-0.00010112146307692306;4.2003047909130435;2.0919828822240802;0.00021137085133497035;0.00018968550232852457;;;
2019-07-19 13:25:00;3.3772041892976584e-05;-7.669284184280936e-05;4.2002819606387956;2.039282942341137;0.00015871564817428746;0.0001418522925528102;;;
2019-07-19 13:30:00;1.1649963842809364e-05;-3.0129576722408025e-05;4.200305668130435;1.9251160553979934;5.79595919854674e-05;4.893340999277856e-05;;;
2019-07-19 13:35:00;1.2025010759197323e-05;-3.07051174548495e-05;4.200405758204013;1.9339000833244149;5.9340740879382195e-05;5.050992486928012e-05;;;
2019-07-19 13:40:00;1.2049536722408026e-05;-3.095567315719064e-05;4.200464821695652;1.939304200959866;5.9993686787394885e-05;5.06136552427237e-05;;;
2019-07-19 13:45:00;1.220234750167224e-05;-3.090119122742475e-05;4.200511022963211;1.9429013279397993;6.000355968729276e-05;5.125609508507356e-05;;;
2019-07-19 13:50:00;1.1125818642140467e-05;-2.856256129765886e-05;4.20050085026087;1.9327558263846154;5.5166567775507857e-05;4.673400803875753e-05;;;
2019-07-19 13:55:00;1.1448323389261744e-05;-2.931401124496644e-05;4.200425282177853;1.9323946652114095;5.660551707634764e-05;4.8087825357186386e-05;;;
2019-07-19 14:00:00;1.1594802086956521e-05;-2.9668685297658862e-05;4.200379646892976;1.93050815361204;5.7237552551996495e-05;4.8702570263124674e-05;;;
2019-07-19 14:05:00;1.2295761715719063e-05;-3.111503525083612e-05;4.200345457050167;1.9345421850635454;6.0154809934240966e-05;5.164644689681094e-05;;;
2019-07-19 14:10:00;1.1963576120401337e-05;-3.0548510906354515e-05;4.200326142180602;1.9306979591505016;5.8942785240497035e-05;5.025092223020464e-05;;;
2019-07-19 14:15:00;1.3170418976588628e-05;-3.319033498996655e-05;4.200316053200669;1.9418866736120404;6.440947093418322e-05;5.531992517236536e-05;;;
2019-07-19 14:20:00;1.431476119063545e-05;-3.559157745484949e-05;4.200319251812709;1.9508046668561874;6.93869872419315e-05;6.012656856749013e-05;;;
2019-07-19 14:25:00;1.4210099321070233e-05;-3.601423826086956e-05;4.200315817371238;1.9524487832274247;7.026576610855541e-05;5.9686906489580736e-05;;;
2019-07-19 14:30:00;1.4824596451505017e-05;-3.69393253444816e-05;4.200307165919733;1.9554585222341139;7.218192557665923e-05;6.226786036038202e-05;;;
2019-07-19 14:35:00;1.5313028946488294e-05;-3.801402037458194e-05;4.200313746508361;1.9586260617591975;7.44036341618731e-05;6.431952686067605e-05;;;
2019-07-19 14:40:00;1.5412425304347825e-05;-3.828817673244147e-05;4.200303536578596;1.9596422451337792;7.497653446909533e-05;6.473686703839509e-05;;;
2019-07-19 14:45:00;1.5776917070234113e-05;-3.899924361872909e-05;4.200294611555184;1.9615237153444818;7.644573539129517e-05;6.62677024157975e-05;;;
2019-07-19 14:50:00;1.6263695588628763e-05;-3.999220401337792e-05;4.200296496401338;1.9655787688160535;7.855435706608863e-05;6.831234165922662e-05;;;
2019-07-19 14:55:00;1.6763934882943143e-05;-4.114076883277592e-05;4.20027105687291;1.9680142225919732;8.091165288688095e-05;7.041306721522673e-05;;;
2019-07-19 15:00:00;1.735992793645485e-05;-4.2460263177257524e-05;4.200267723311037;1.97292521758194;8.371943004546297e-05;7.291635104532412e-05;;;
2019-07-19 15:05:00;1.7543815454849497e-05;-4.2791116220735785e-05;4.200362954207358;1.9779595174515052;8.458430736996733e-05;7.369039280723392e-05;;;
2019-07-19 15:10:00;1.85606602909699e-05;-4.491398428762541e-05;4.200454120531773;1.989982281541806;8.931464371176142e-05;7.796320848504444e-05;;;
2019-07-19 15:15:00;1.8570366160535117e-05;-4.4640179220735786e-05;4.200495759083612;1.992450117625418;8.88810058161822e-05;7.800474753953131e-05;;;
2019-07-19 15:20:00;1.8044502976588627e-05;-4.369949866889632e-05;4.200496846655518;1.9895888514280937;8.692608232103424e-05;7.579588207852573e-05;;;
2019-07-19 15:25:00;2.0342620284280936e-05;-4.86200195451505e-05;4.200481066876255;2.0059763970468225;9.744635026581696e-05;8.544879006765191e-05;;;
2019-07-19 15:30:00;2.0851222617449662e-05;-4.9754954493288585e-05;4.2004339947885905;2.0058517771073827;9.97219171941766e-05;8.758418101876142e-05;;;
2019-07-19 15:35:00;2.1841143454849497e-05;-5.193658427759197e-05;4.200384054521739;2.0086240333712375;0.00010423564705354832;9.174118916784743e-05;;;
2019-07-19 15:40:00;2.2342187096989967e-05;-5.298633333779264e-05;4.2003567246755855;2.008863509157191;0.00010636172512766894;9.38451578021973e-05;;;
2019-07-19 15:45:00;2.2619482073578594e-05;-5.373808606688963e-05;4.200334920645485;2.009333925257525;0.00010789301946747434;9.500940086425608e-05;;;
2019-07-19 15:50:00;2.2753643411371237e-05;-5.3955778652173915e-05;4.200313546668896;2.0079029096889633;0.00010826047814225625;9.557243875645238e-05;;;
2019-07-19 15:55:00;2.29349804180602e-05;-5.458521321070234e-05;4.200306105812709;2.0084178368996657;0.0001095519563792018;9.633393765767212e-05;;;
2019-07-19 16:00:00;2.313785358862876e-05;-5.495936628762542e-05;4.200282912364549;2.0078928502408027;0.00011026411911375492;9.718553345561689e-05;;;
2019-07-19 16:05:00;2.3006934304347823e-05;-5.4664406541806015e-05;4.200280643675585;2.0078813998428098;0.00010967617451657659;9.66355794914039e-05;;;
2019-07-19 16:10:00;2.3266966327759195e-05;-5.506101109698996e-05;4.200385281277592;2.0142291289899665;0.00011082594031361798;9.773022454497781e-05;;;
2019-07-19 16:15:00;2.1352482759197325e-05;-5.0862518809364544e-05;4.200450439719063;2.008417183040134;0.0001020801448551542;8.96900329222566e-05;;;
2019-07-19 16:20:00;2.1730151468227423e-05;-5.1652126993311035e-05;4.2004788661237455;2.0122507477759197;0.00010386784020514477;9.127704625061045e-05;;;
2019-07-19 16:25:00;2.412653362541806e-05;-5.698309525752507e-05;4.2004884297357865;2.0254262700836123;0.00011534257014926972;0.00010134322828758756;;;
2019-07-19 16:30:00;2.434719260869565e-05;-5.767008165551839e-05;4.200456225394649;2.028483587284281;0.00011687049167225286;0.0001022693149233006;;;
2019-07-19 16:35:00;2.556917717056856e-05;-5.986477543812708e-05;4.200404233712375;2.0290109975986623;0.00012137415590263876;0.00010740088316354937;;;
2019-07-19 16:40:00;2.5347713578595318e-05;-5.949838273244146e-05;4.200357884210702;2.0252861156722406;0.00012041036140650681;0.00010646947734167796;;;
2019-07-19 16:45:00;1.4752446321070233e-05;-3.6534159471571906e-05;4.200327404535117;1.9495992227391306;7.17661016426026e-05;6.196517109653957e-05;;;
2019-07-19 16:50:00;1.9722761e-05;-4.7521339287625414e-05;4.200310757745819;1.9811928498060203;9.449860024513877e-05;8.284171416377056e-05;;;
2019-07-19 16:55:00;3.546843259531772e-05;-8.078654593645484e-05;4.2002967018428095;2.0619859591204013;0.00016652035915081643;0.00014897795234554087;;;
2019-07-19 17:00:00;3.318401038795987e-05;-7.657454265886286e-05;4.200293254672241;2.052992788147157;0.00015711637116962003;0.00013938256603910598;;;
2019-07-19 17:05:00;2.886160043812709e-05;-6.704505196989966e-05;4.200394509458194;2.0386827564113714;0.00013658533249361025;0.00012123009055495407;;;
2019-07-19 17:10:00;2.673647866107382e-05;-6.23703470838926e-05;4.200456879919463;2.0340243253255035;0.00012675542414092842;0.00011230542123178847;;;
2019-07-19 17:15:00;2.4723616130434782e-05;-5.808509384615384e-05;4.200479835107024;2.0260678896153843;0.00011760647097744377;0.00010385105428253825;;;
2019-07-19 17:20:00;2.4500840819397993e-05;-5.755966649498327e-05;4.200513299050168;2.027618739979933;0.00011661858296207893;0.00010291611066426412;;;
2019-07-19 17:25:00;2.7929159595317725e-05;-6.48448432909699e-05;4.2005131950334444;2.040812136715719;0.00013258681248755927;0.0001173168225708865;;;
2019-07-19 17:30:00;3.848049616053511e-05;-8.671381121070234e-05;4.200485092632107;2.084333541394649;0.000180631060273984;0.00016163676541890097;;;
2019-07-19 17:35:00;3.5873052347826086e-05;-8.147946992307693e-05;4.200420071628763;2.0725746639063547;0.00016873841604355416;0.00015068187914587554;;;
2019-07-19 17:40:00;3.33686551270903e-05;-7.628516491304347e-05;4.200354557789298;2.0607914297692305;0.0001571531356885272;0.00014016023854189494;;;
2019-07-19 17:45:00;3.177617668561873e-05;-7.338716319063545e-05;4.200318403755853;2.0514075407056853;0.00015044980149922878;0.000133470050120765;;;
2019-07-19 17:50:00;3.0834078130434776e-05;-7.125009524749163e-05;4.200284023896321;2.0446243332173912;0.00014559237828072272;0.00012951189563875247;;;
2019-07-19 17:55:00;2.7468821923076917e-05;-6.405470971237458e-05;4.200339266010034;2.0326068916789297;0.00013009823343160438;0.00011537839005341011;;;
2019-07-19 18:00:00;2.3415456642140467e-05;-5.532224287625418e-05;4.200434994100335;2.017030573237458;0.00011159620491153222;9.835514688675795e-05;;;
2019-07-19 18:05:00;2.632157585953177e-05;-6.13575621638796e-05;4.2004733066053515;2.0353484686354517;0.0001248004206004389;0.00011056307837098127;;;
2019-07-19 18:10:00;2.43392206722408e-05;-5.708097760200669e-05;4.200488737538461;2.02698890361204;0.00011563116945574203;0.0001022366104690133;;;
2019-07-19 18:15:00;2.1148975010033443e-05;-5.028086109698996e-05;4.200489374913044;2.0107209687658862;0.00010103529533050805;8.883605278630196e-05;;;
2019-07-19 18:20:00;1.9126421826086955e-05;-4.5965736675585284e-05;4.2005027575384615;1.9979782268327761;9.177630512054322e-05;8.034058815235594e-05;;;
2019-07-19 18:25:00;1.52883226722408e-05;-3.766927588628762e-05;4.200487177973244;1.9716623298294313;7.423917553707624e-05;6.421842153145982e-05;;;
