ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
466;0.128172;0.150000;507.390884;0.000000;1;-0.010598
471;0.123432;0.000000;507.514316;0.000000;1;-0.010598
474;0.252827;0.000000;507.767142;0.000000;1;-0.010598
479;0.258449;0.000000;508.025591;0.000000;1;-0.010598
484;0.243368;0.000000;508.268959;0.000000;1;-0.010598
488;0.257672;0.000000;508.526631;0.000000;1;-0.010598
493;0.248140;0.000000;508.774771;5.700000;1;0.091506
498;0.260766;0.150000;508.885537;5.700000;1;0.091506
502;0.261507;0.150000;508.997044;5.700000;1;0.091506
507;0.247348;0.150000;509.094392;5.700000;1;0.091506
512;0.257003;0.150000;509.201395;5.700000;1;0.091506
516;0.260514;0.150000;509.311909;4.650000;1;0.114642
521;0.256619;0.150000;509.418529;4.650000;1;0.114642
526;0.253802;0.150000;509.522330;4.650000;1;0.114642
530;0.257183;0.150000;509.629513;4.650000;1;0.114642
534;0.373169;0.150000;509.852682;4.650000;1;0.114642
539;0.366531;0.150000;510.069213;4.650000;1;0.114642
543;0.380417;0.150000;510.299630;5.850000;1;0.199021
548;0.390073;0.150000;510.539703;5.850000;1;0.199021
553;0.372013;0.150000;510.761717;5.850000;1;0.199021
557;0.369379;0.150000;510.981096;5.850000;1;0.199021
562;0.368654;0.150000;511.199750;5.850000;1;0.199021
566;0.379596;0.150000;511.429347;6.900000;1;0.303915
571;0.374180;0.150000;511.653526;6.900000;1;0.303915
576;0.365784;0.150000;511.869310;6.900000;1;0.303915
580;0.371800;0.150000;512.091110;6.900000;1;0.303915
585;0.362878;0.150000;512.303989;6.900000;1;0.303915
590;0.393069;0.150000;512.547058;6.900000;1;0.303915
593;0.404974;0.150000;512.802032;7.200000;1;0.386160
598;0.406896;0.150000;513.058928;7.200000;1;0.386160
603;0.401480;0.150000;513.310408;7.200000;1;0.386160
607;0.426105;0.150000;513.586513;7.200000;1;0.386160
612;0.415195;0.150000;513.851707;7.200000;1;0.386160
617;0.394190;0.150000;514.095897;6.900000;1;0.421866
621;0.402913;0.150000;514.348811;6.900000;1;0.421866
626;0.398429;0.150000;514.597240;6.900000;1;0.421866
630;0.406808;0.150000;514.854048;6.900000;1;0.421866
635;0.399993;0.150000;515.104040;6.900000;1;0.421866
640;0.411069;0.150000;515.365109;6.900000;1;0.421866
644;0.424285;0.150000;515.639395;7.050000;1;0.481168
649;0.410743;0.150000;515.900138;7.050000;1;0.481168
653;0.420606;0.150000;516.170744;7.050000;1;0.481168
657;0.427368;0.150000;516.448112;7.050000;1;0.481168
662;0.399768;0.150000;516.697880;7.050000;1;0.481168
667;0.428947;0.150000;516.976827;6.000000;1;0.440673
671;0.420546;0.150000;517.247373;6.000000;1;0.440673
676;0.408997;0.150000;517.506370;6.000000;1;0.440673
680;0.399172;0.150000;517.755542;6.000000;1;0.440673
685;0.401758;0.150000;518.007300;6.000000;1;0.440673
690;0.405074;0.150000;518.262374;6.000000;1;0.440673
694;0.423070;0.150000;518.535445;6.450000;1;0.506815
699;0.416092;0.150000;518.801537;6.450000;1;0.506815
704;0.424745;0.150000;519.076282;6.450000;1;0.506815
708;0.402704;0.150000;519.328986;6.450000;1;0.506815
712;0.304659;0.150000;519.483645;6.450000;1;0.506815
716;0.321596;0.150000;519.655241;6.300000;1;0.516652
721;0.310070;0.150000;519.815311;6.300000;1;0.516652
725;0.322610;0.150000;519.987921;6.300000;1;0.516652
729;0.310117;0.150000;520.148038;6.300000;1;0.516652
734;0.313174;0.150000;520.311212;6.300000;1;0.516652
738;0.306540;0.150000;520.467752;6.300000;1;0.516652
742;0.317826;0.150000;520.635578;7.050000;1;0.595556
